name,type,min_height,avg_wait_time
tiltawhirl,Family Rides,100,15
supertelecombat,Adult Rides,150,25
kindercarousel,Kids Rides,150,10
aquadive,Family Rides,100,15
zipperdripper,Family Rides,100,15
bigapple,Children Rides,100,10
enterprise,Adult Rides,150,25
southerntreat,Food and Beverages,1,10
thunder,Adult Rides,170,25
arcticcircle,Paid Attractions,120,20
monster,Family Rides,100,15
controltower,Facilities and Services,1,1
rainbow,Adult Rides,170,25
hoolaloop,Adult Rides,150,25
crazycups,Family Rides,100,15
rockingalley,Family Rides,100,15
srdodgem,Kids Rides,100,10
quickpik2,Food and Beverages,1,10
aeroswinger,Family Rides,100,15
topspin,Adult Rides,170,25
7d,Paid Attractions,100,20
short n drop,Adult Rides,170,25
entrance,Way To Enter,1,1
exit,Way To Exit,1,1
maze,Family Rides,100,15
