from_node,to_node,edge,weight,direction,bidirectional,accessible
entrance,tiltawhirl,ent_tilt,0.4,east,1,1
tiltawhirl,supertelecombat,tilt_super,0.3,east,1,1
supertelecombat,kindercarousel,super_kinder,0.55,northeast,1,1
kindercarousel,junction1,kinder_junc1,0.2,northeast,1,1
junction1,junction2,junc1_junc2,0.19,west,1,1
junction1,junction9,junc1_junc9,0.21,north,1,1
junction2,short n drop,junc2_short,0.1,southwest,1,1
junction2,junction3,junc2_junc3,0.57,northwest,1,1
junction3,aquadive,junc3_aqua,0.13,southwest,1,0
junction3,7d,junc3_7d,0.16,northwest,1,1
7d,junction4,7d_junc4,0.14,southwest,1,1
7d,southerntreat,7d_streat,0.34,northwest,1,1
junction4,maze,junc4_maze,0.12,southwest,1,1
junction4,junction8,junc4_junc8,0.51,northwest,1,1
maze,junction5,maze_junc5,0.12,southwest,1,1
junction5,junction6,junc5_junc6,0.18,northwest,1,1
junction6,topspin,junc6_tspin,0.13,northwest,1,1
topspin,junction7,tspin_junc7,0.1,northwest,1,1
junction7,junction8,junc7_junc8,0.17,east,1,1
junction8,southerntreat,junc8_streat,0.21,east,1,1
southerntreat,thunder,streat_thunder,0.4,east,1,1
thunder,bigapple,thunder_biga,0.1,southeast,1,1
junction9,junction10,junc9_junc10,0.09,north,1,1
junction9,enterprise,junc9_enterprise,0.1,northwest,1,1
junction10,junction12,junc10_jun12,0.58,northwest,1,1
enterpise,junction11,enterprise_junc11,0.3,northwest,1,1
junction11,zipperdripper,junc11_zip,0.16,southwest,1,1
junction11,junction12,junc11_junc12,0.22,northwest,1,1
junction12,bigapple,junc12_big,0.09,northwest,1,1
thunder,arcticcircle,thunder_arc,0.25,east,1,1
junction10,junction13,junc10_junc13,0.09,northeast,1,1
junction13,rainbow,junc13_rainbow,0.24,southeast,1,1
junction13,controltower,junc13_ctower,0.08,northwest,1,1
controltower,junction14,ctower_junc14,0.08,northwest,1,1
junction14,hoolaloop,junc14_hloop,0.11,east,1,1
junction14,monster,junc14_monster,0.16,northwest,1,1
monster,junction15,monster_junc15,0.1,northwest,1,1
arcticcircle,junction15,arc_junc15,0.31,east,1,1
monster,crazycups,monster_cups,0.2,northeast,1,1
junction15,junction16,junc15_junc16,0.11,northeast,1,1
crazycups,junction16,cups_junc16,0.2,northwest,1,1
junction16,junction17,junc16_junc17,0.19,northeast,1,1
junction17,rockingalley,junc17_ralley,0.32,east,0,1
junction17,srdodgem,junc17_sr,0.27,northwest,1,1
srdodgem,junction18,sr_junc18,0.18,northwest,1,1
junction18,aeroswinger,junc18_aero,0.07,west,1,1
junction18,junction19,junc18_junc19,0.44,east,1,1
junction19,quickpik2,junc19_qpik,0.06,northwest,1,1
junction19,exit,junc19_exit,0.28,northwest,1,1
rockingalley,junction19,ralley_junc19,0.34,north,0,1
junction4,aquadive,junc4_dive,0.20,south,1,1
